District,District_Code,ELA_Scores,Math_Scores,Total_Per_Pupil_Expenditures,Black,Hispanic,White,Asian,Other,Year,County,Area_Type
Hamden School District,620011,2339.0,2336.0,23255,0.321,0.263,0.284,0.07,0.061,2022-23,New Haven,
Hampton School District,630011,33.0,33.0,30664,0.0,0.09,0.836,0.0,0.0,2022-23,,
Hartford School District,640011,7039.0,6979.0,22167,0.289,0.564,0.07,0.046,0.027,2022-23,Hartford,
Hartland School District,650011,82.0,82.0,29381,0.0,0.0,0.836,0.0,0.086,2022-23,,
Hebron School District,670011,347.0,347.0,18902,0.0,0.052,0.884,0.019,0.026,2022-23,,
Highville Charter School District,2860013,200.0,200.0,11735,0.853,0.117,0.0,0.0,0.018,2022-23,,
Integrated Day Charter School District,2640013,225.0,224.0,14674,0.105,0.227,0.432,0.133,0.0,2022-23,,
Interdistrict School for Arts and Comm District,2650013,261.0,256.0,16897,0.181,0.069,0.128,0.0,0.064,2022-23,,
Jumoke Academy District,2610013,347.0,346.0,15035,0.925,0.059,0.01,0.0,0.0,2022-23,,
Kent School District,680011,115.0,115.0,31197,0.0,0.098,0.825,0.0,0.052,2022-23,,
Killingly School District,690011,990.0,981.0,19427,0.02,0.114,0.773,0.023,0.067,2022-23,,
Learn,2450014,258.0,257.0,26057,0.091,0.362,0.397,0.026,0.119,2022-23,,
Lebanon School District,710011,395.0,394.0,22826,0.009,0.088,0.863,0.009,0.018,2022-23,,
Ledyard School District,720011,1055.0,1053.0,17413,0.042,0.123,0.706,0.037,0.055,2022-23,New London,
Lisbon School District,730011,249.0,248.0,18362,0.0,0.146,0.78,0.0,0.05,2022-23,,
Litchfield School District,740011,369.0,369.0,23554,0.009,0.079,0.873,0.017,0.015,2022-23,,
Madison School District,760011,1031.0,1030.0,24601,0.008,0.069,0.847,0.034,0.04,2022-23,New Haven,
Manchester School District,770011,2641.0,2619.0,19931,0.246,0.341,0.295,0.081,0.027,2022-23,Hartford,
Mansfield School District,780011,626.0,624.0,24767,0.038,0.165,0.644,0.116,0.0,2022-23,,
Marlborough School District,790011,243.0,243.0,18319,0.0,0.092,0.851,0.018,0.022,2022-23,,
Meriden School District,800011,3974.0,3945.0,16794,0.116,0.603,0.218,0.019,0.042,2022-23,New Haven,
Middletown School District,830011,2006.0,1998.0,23702,0.22,0.178,0.437,0.051,0.106,2022-23,Middlesex,
Milford School District,840011,2309.0,2306.0,24217,0.048,0.155,0.663,0.09,0.041,2022-23,New Haven,
Monroe School District,850011,1512.0,1507.0,19232,0.035,0.156,0.715,0.052,0.04,2022-23,,
Montville School District,860011,942.0,943.0,20037,0.039,0.165,0.601,0.064,0.121,2022-23,,
Naugatuck School District,880011,1907.0,1903.0,16735,0.122,0.374,0.426,0.023,0.052,2022-23,New Haven,
New Beginnings Inc Family Academy District,2800013,166.0,166.0,17896,0.537,0.448,0.0,0.0,0.0,2022-23,,
New Britain School District,890011,4371.0,4328.0,18409,0.111,0.677,0.133,0.02,0.143,2022-23,Hartford,
New Canaan School District,900011,1927.0,1925.0,24716,0.013,0.062,0.799,0.07,0.053,2022-23,Fairfield,
New Fairfield School District,910011,938.0,935.0,22062,0.023,0.176,0.758,0.011,0.028,2022-23,,
New Hartford School District,920011,244.0,243.0,20891,0.0,0.077,0.892,0.0,0.0,2022-23,,
New Haven School District,930011,8023.0,7964.0,20451,0.344,0.485,0.105,0.032,0.031,2022-23,New Haven,
New London School District,950011,1322.0,1315.0,22725,0.163,0.575,0.128,0.013,0.114,2022-23,New London,
New Milford School District,960011,1545.0,1534.0,19376,0.034,0.232,0.675,0.035,0.021,2022-23,Litchfield,
Newington School District,940011,1718.0,1707.0,21046,0.057,0.257,0.534,0.096,0.054,2022-23,,
Newtown School District,970011,1756.0,1753.0,21714,0.023,0.118,0.817,0.023,0.016,2022-23,Fairfield,
Norfolk School District,980011,35.0,35.0,37637,0.0,0.0,0.864,0.0,0.0,2022-23,,
North Branford School District,990011,704.0,704.0,22260,0.0,0.09,0.85,0.018,0.025,2022-23,,
North Canaan School District,1000011,145.0,145.0,24648,0.0,0.151,0.79,0.0,0.029,2022-23,,
North Haven School District,1010011,1448.0,1443.0,19676,0.051,0.128,0.709,0.081,0.028,2022-23,,
North Stonington School District,1020011,330.0,330.0,19441,0.021,0.05,0.889,0.012,0.018,2022-23,,
Norwalk School District,1030011,4872.0,4856.0,22279,0.139,0.553,0.233,0.039,0.034,2022-23,Fairfield,
Norwich School District,1040011,2077.0,2064.0,23831,0.183,0.371,0.278,0.063,0.096,2022-23,New London,
Odyssey Community School District,2630013,216.0,216.0,14497,0.227,0.19,0.27,0.23,0.0,2022-23,,
Old Saybrook School District,1060011,456.0,455.0,26378,0.0,0.14,0.784,0.036,0.034,2022-23,,
Orange School District,1070011,711.0,709.0,18838,0.023,0.073,0.721,0.131,0.052,2022-23,New Haven,
Oxford School District,1080011,744.0,741.0,20026,0.024,0.104,0.828,0.026,0.014,2022-23,New Haven,
Park City Prep Charter School District,2830013,373.0,365.0,16151,0.501,0.413,0.055,0.0,0.0,2022-23,,
Plainfield School District,1090011,851.0,849.0,19064,0.032,0.103,0.815,0.015,0.022,2022-23,Windham,
Plainville School District,1100011,1030.0,1028.0,20255,0.055,0.236,0.629,0.029,0.048,2022-23,Hartford,
Plymouth School District,1110011,578.0,576.0,20079,0.0,0.145,0.766,0.021,0.051,2022-23,,
Pomfret School District,1120011,245.0,245.0,20554,0.0,0.03,0.935,0.0,0.0,2022-23,,
Portland School District,1130011,620.0,618.0,20901,0.039,0.181,0.719,0.014,0.048,2022-23,,
Preston School District,1140011,264.0,265.0,22303,0.0,0.075,0.825,0.023,0.048,2022-23,,
Putnam School District,1160011,506.0,505.0,19433,0.017,0.152,0.814,0.008,0.007,2022-23,Windham,
Redding School District,1170011,528.0,527.0,29232,0.016,0.126,0.796,0.024,0.035,2022-23,,
Regional School District 01,2010012,0.0,0.0,36960,0.0,0.11,0.804,0.018,0.055,2022-23,,
Regional School District 04,2040012,227.0,229.0,27347,0.0,0.084,0.851,0.015,0.04,2022-23,,
Regional School District 05,2050012,705.0,700.0,22558,0.0,0.086,0.686,0.15,0.038,2022-23,,
Regional School District 06,2060012,303.0,301.0,23898,0.013,0.054,0.896,0.0,0.033,2022-23,,
Regional School District 07,2070012,255.0,256.0,25464,0.008,0.042,0.92,0.0,0.022,2022-23,,
Regional School District 08,2080012,366.0,366.0,22687,0.01,0.08,0.87,0.012,0.027,2022-23,,
Regional School District 10,2100012,962.0,961.0,19343,0.004,0.073,0.675,0.007,0.241,2022-23,,
Regional School District 11,2110012,98.0,97.0,27425,0.0,0.076,0.876,0.0,0.0,2022-23,,
Regional School District 12,2120012,282.0,281.0,29022,0.007,0.098,0.846,0.009,0.037,2022-23,,
Regional School District 13,2130012,623.0,618.0,27232,0.0,0.082,0.87,0.012,0.029,2022-23,,
Regional School District 14,2140012,595.0,593.0,22796,0.014,0.106,0.835,0.012,0.028,2022-23,,
Regional School District 15,2150012,1596.0,1592.0,23154,0.024,0.082,0.813,0.048,0.032,2022-23,,
Regional School District 16,2160012,874.0,873.0,20158,0.039,0.092,0.827,0.0,0.027,2022-23,,
Regional School District 17,2170012,798.0,796.0,24145,0.0,0.047,0.897,0.017,0.029,2022-23,,
Regional School District 18,2180012,527.0,527.0,24303,0.005,0.065,0.862,0.027,0.04,2022-23,,
Ridgefield School District,1180011,2018.0,2003.0,21115,0.007,0.09,0.79,0.065,0.046,2022-23,Fairfield,
Rocky Hill School District,1190011,1164.0,1162.0,19869,0.038,0.118,0.515,0.29,0.038,2022-23,,
Salem School District,1210011,263.0,263.0,20212,0.0,0.085,0.823,0.0,0.062,2022-23,,
Salisbury School District,1220011,185.0,185.0,28116,0.037,0.105,0.787,0.0,0.054,2022-23,,
Scotland School District,1230011,43.0,43.0,26551,0.0,0.0,0.887,0.0,0.0,2022-23,,
Seymour School District,1240011,946.0,945.0,18691,0.07,0.221,0.652,0.036,0.0,2022-23,,
Sharon School District,1250011,63.0,63.0,51470,0.0,0.062,0.876,0.0,0.0,2022-23,,
Shelton School District,1260011,2123.0,2117.0,17911,0.082,0.23,0.593,0.051,0.043,2022-23,Fairfield,
Sherman School District,1270011,156.0,154.0,25082,0.0,0.083,0.826,0.0,0.06,2022-23,,
Side By Side Charter School District,2700013,130.0,130.0,14735,0.254,0.576,0.102,0.025,0.042,2022-23,,
Simsbury School District,1280011,1850.0,1848.0,20177,0.057,0.112,0.712,0.065,0.0,2022-23,Hartford,
Somers School District,1290011,608.0,608.0,20674,0.024,0.055,0.888,0.0,0.02,2022-23,,
South Windsor School District,1320011,2343.0,2327.0,17234,0.06,0.105,0.578,0.308,0.048,2022-23,Hartford,
Southington School District,1310011,2768.0,2762.0,17952,0.025,0.12,0.76,0.044,0.049,2022-23,Hartford,
Sprague School District,1330011,173.0,172.0,19268,0.025,0.178,0.63,0.0,0.145,2022-23,,
Stafford School District,1340011,608.0,604.0,22633,0.008,0.087,0.859,0.0,0.036,2022-23,,
Stamford Charter School for Excellence District,2960013,297.0,297.0,10994,0.43,0.255,0.037,0.239,0.03,2022-23,,
Stamford School District,1350011,7117.0,7094.0,22321,0.134,0.502,0.264,0.063,0.034,2022-23,Fairfield,
Sterling School District,1360011,195.0,195.0,19662,0.025,0.093,0.796,0.0,0.08,2022-23,,
Stonington School District,1370011,756.0,755.0,22693,0.008,0.075,0.833,0.018,0.062,2022-23,,
Stratford School District,1380011,2982.0,2947.0,20037,0.26,0.403,0.276,0.023,0.035,2022-23,Fairfield,
Suffield School District,1390011,867.0,865.0,19675,0.038,0.09,0.812,0.045,0.012,2022-23,,
The Bridge Academy District,2690013,96.0,96.0,16552,0.514,0.461,0.0,0.0,0.0,2022-23,,
The Gilbert School District,9020022,136.0,135.0, ,0.024,0.202,0.68,0.049,0.044,2022-23,,
Thomaston School District,1400011,383.0,381.0,19926,0.013,0.109,0.818,0.021,0.039,2022-23,,
Thompson School District,1410011,421.0,416.0,22498,0.008,0.088,0.866,0.01,0.028,2022-23,,
Tolland School District,1420011,947.0,945.0,18686,0.029,0.097,0.806,0.034,0.033,2022-23,,
Torrington School District,1430011,1836.0,1827.0,21108,0.062,0.384,0.482,0.04,0.027,2022-23,Litchfield,
Trumbull School District,1440011,3074.0,3071.0,18553,0.067,0.19,0.614,0.1,0.027,2022-23,Fairfield,
Union School District,1450011,37.0,37.0,24906,0.0,0.0,0.0,0.0,0.0,2022-23,,
Vernon School District,1460011,1335.0,1334.0,19042,0.104,0.221,0.513,0.077,0.084,2022-23,Tolland,
Voluntown School District,1470011,141.0,141.0,21624,0.0,0.048,0.904,0.0,0.0,2022-23,,
Wallingford School District,1480011,2265.0,2252.0,22692,0.019,0.206,0.687,0.049,0.037,2022-23,New Haven,
Waterbury School District,1510011,8091.0,8055.0,18405,0.212,0.616,0.111,0.015,0.041,2022-23,New Haven,
Waterford School District,1520011,1031.0,1027.0,22800,0.024,0.145,0.721,0.049,0.055,2022-23,New London,
Watertown School District,1530011,1181.0,1180.0,20249,0.036,0.108,0.798,0.015,0.039,2022-23,Litchfield,
West Hartford School District,1550011,3997.0,3982.0,20704,0.082,0.204,0.547,0.103,0.06,2022-23,Hartford,
West Haven School District,1560011,2566.0,2551.0,17401,0.24,0.397,0.265,0.048,0.047,2022-23,New Haven,
Westbrook School District,1540011,236.0,236.0,31330,0.0,0.271,0.687,0.019,0.0,2022-23,,
Weston School District,1570011,981.0,981.0,26281,0.0,0.087,0.763,0.062,0.073,2022-23,,
Westport School District,1580011,2379.0,2375.0,25576,0.0,0.079,0.763,0.066,0.07,2022-23,Fairfield,
Wethersfield School District,1590011,1620.0,1616.0,18723,0.047,0.208,0.646,0.053,0.043,2022-23,Hartford,
Willington School District,1600011,259.0,259.0,24707,0.025,0.098,0.829,0.0,0.03,2022-23,,
Wilton School District,1610011,1634.0,1629.0,24229,0.009,0.066,0.749,0.112,0.063,2022-23,,
Winchester School District,1620011,320.0,320.0,22293,0.026,0.144,0.779,0.015,0.033,2022-23,,
Windham School District,1630011,1518.0,1509.0,22599,0.032,0.727,0.21,0.007,0.02,2022-23,Windham,
Windsor Locks School District,1650011,666.0,665.0,23010,0.128,0.179,0.565,0.059,0.063,2022-23,Hartford,
Windsor School District,1640011,1373.0,1357.0,21646,0.399,0.246,0.225,0.037,0.09,2022-23,Hartford,
Wolcott School District,1660011,952.0,950.0,18138,0.038,0.153,0.749,0.025,0.032,2022-23,,
Woodbridge School District,1670011,469.0,471.0,19918,0.0,0.071,0.659,0.151,0.092,2022-23,,
Woodstock School District,1690011,509.0,509.0,18413,0.008,0.05,0.882,0.0,0.048,2022-23,,
Goodwin University Educational Services (GUES),2310018,377.0,377.0,17580,0.0,0.132,0.793,0.012,0.0,2022-23,,
Achievement First Bridgeport Academy District,2850013,558.0,547.0,14616.0,0.526,0.433,0.019,0.0,0.014,2023-24,Fairfield,
Achievement First Hartford Academy District,2880013,457.0,450.0,17688.0,0.753,0.216,0.0,0.0,0.021,2023-24,Hartford,
Amistad Academy District,2790013,537.0,521.0,14491.0,0.604,0.357,0.011,0.0,0.017,2023-24,New Haven,
Andover School District,10011,92.0,92.0,22038.0,0.0,0.122,0.849,0.0,0,2023-24,Tolland,Suburban
Ansonia School District,20011,1123.0,1119.0,19869.0,0.212,0.477,0.232,0.02,0.055,2023-24,New Haven,Urban
Area Cooperative Educational Services,2440014,1040.0,1025.0,52153.0,0.333,0.33,0.252,0.026,0.055,2023-24,New Haven,Suburban
Ashford School District,30011,226.0,226.0,26212.0,0.017,0.085,0.851,0.017,0.031,2023-24,Windham,Suburban
Avon School District,40011,1427.0,1425.0,21328.0,0.064,0.08,0.623,0.185,0.045,2023-24,Hartford,
Barkhamsted School District,50011,114.0,114.0,21438.0,0.0,0.055,0.885,0.0,0.05,2023-24,,
Berlin School District,70011,1148.0,1147.0,22299.0,0.027,0.136,0.769,0.041,0.026,2023-24,Hartford,
Bethany School District,80011,251.0,251.0,19107.0,0.022,0.076,0.798,0.079,0,2023-24,,
Bethel School District,90011,1432.0,1431.0,18624.0,0.044,0.269,0.555,0.073,0.059,2023-24,Fairfield,
Bloomfield School District,110011,708.0,705.0,24674.0,0.66,0.173,0.093,0.021,0.048,2023-24,Hartford,
Bolton School District,120011,308.0,308.0,22301.0,0.064,0.104,0.761,0.021,0.049,2023-24,Tolland,
Booker T. Washington Academy District,2950013,248.0,248.0,19545.0,0.792,0.164,0.0,0.0,0.034,2023-24,New Haven,
Bozrah School District,130011,98.0,98.0,28086.0,0.0,0.141,0.771,0.0,0.071,2023-24,,
Branford School District,140011,1127.0,1115.0,25027.0,0.042,0.17,0.671,0.067,0.056,2023-24,,
Brass City Charter School District,2900013,210.0,210.0,16251.0,0.339,0.529,0.041,0.028,0.063,2023-24,,
Bridgeport School District,150011,8585.0,8561.0,18922.0,0.278,0.593,0.084,0.08,0.027,2023-24,Fairfield,
Bristol School District,170011,3310.0,3319.0,20882.0,0.083,0.379,0.443,0.035,0.059,2023-24,Hartford,
Brookfield School District,180011,1093.0,1090.0,20908.0,0.04,0.177,0.691,0.079,0.011,2023-24,Fairfield,
Brooklyn School District,190011,557.0,556.0,19247.0,0.0,12.2,78.3,2.4,4.7,2023-24,Windham,
Canaan School District,210011,51.0,51.0,34312.0,0.0,0.0,0.925,0.0,0,2023-24,,
Canterbury School District,220011,285.0,283.0,20623.0,0.0,0.109,0.86,0.0,0.025,2023-24,,
Canton School District,230011,653.0,652.0,23009.0,0.062,0.072,0.815,0.0,0.03,2023-24,Hartford,
Capital Preparatory Harbor School District,2970013,360.0,360.0,13123.0,0.656,0.333,0.0,0.0,0,2023-24,,
Capitol Region Education Council,2410014,3492.0,3470.0,30781.0,0.311,0.427,0.148,0.051,0.06,2023-24,,
Chaplin School District,240011,79.0,77.0,26867.0,0.0,0.123,0.786,0.0,0.052,2023-24,Windham,
Cheshire School District,250011,1890.0,1889.0,20515.0,0.036,0.1,0.736,0.089,0.038,2023-24,New Haven,
Chester School District,260011,122.0,122.0,27164.0,0.0,0.082,0.879,0.0,0,2023-24,,
Clinton School District,270011,627.0,624.0,24911.0,0.0,0.244,0.696,0.029,0.019,2023-24,Middlesex,
Colchester School District,280011,936.0,935.0,21216.0,0.021,0.097,0.81,0.021,0.049,2023-24,New London,
Colebrook School District,290011,46.0,46.0,34174.0,0.0,0.0,0.909,0.0,0,2023-24,,
Columbia School District,300011,299.0,297.0,21600.0,0.0,0.092,0.849,0.0,0.044,2023-24,,
Cooperative Educational Services,2430014,281.0,280.0,23566.0,0.234,0.401,0.275,0.045,0.042,2023-24,,
Cornwall School District,310011,60.0,60.0,34007.0,0.0,0.062,0.845,0.0,0,2023-24,,
Coventry School District,320011,707.0,704.0,18654.0,0.007,0.078,0.855,0.011,0.047,2023-24,Tolland,
Cromwell School District,330011,903.0,900.0,20663.0,0.069,0.143,0.67,0.054,0.061,2023-24,,
Danbury School District,340011,5415.0,5409.0,17100.0,0.064,0.641,0.209,0.045,0.038,2023-24,Fairfield,
Darien School District,350011,2103.0,2098.0,25891.0,0.007,0.071,0.808,0.063,0.05,2023-24,,
Deep River School District,360011,103.0,103.0,29208.0,0.0,0.092,0.862,0.0,0,2023-24,,
Derby School District,370011,577.0,576.0,23073.0,0.209,0.433,0.273,0.0,0.062,2023-24,New Haven,
East Granby School District,400011,387.0,385.0,24227.0,0.067,0.065,0.743,0.081,0.044,2023-24,,
East Haddam School District,410011,435.0,434.0,24690.0,0.0,0.067,0.884,0.012,0.029,2023-24,,
East Hampton School District,420011,796.0,792.0,22129.0,0.011,0.076,0.863,0.011,0.037,2023-24,,
East Hartford School District,430011,2566.0,2554.0,17348.0,0.296,0.531,0.096,0.039,0.037,2023-24,Hartford,
East Haven School District,440011,1179.0,1171.0,18985.0,0.056,0.416,0.45,0.033,0.041,2023-24,New Haven,
East Lyme School District,450011,992.0,987.0,23370.0,0.019,0.098,0.722,0.095,0.062,2023-24,New London,
East Windsor School District,470011,452.0,445.0,25949.0,0.137,0.259,0.457,0.076,0.068,2023-24,,
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,,,48835.0,0.027,0.179,0.715,0.0,0.079,2023-24,,
Eastford School District,390011,95.0,95.0,22285.0,0.0,0.075,0.851,0.0,0,2023-24,,
Easton School District,460011,577.0,576.0,22599.0,0.0,0.094,0.749,0.074,0.051,2023-24,,
EdAdvance,2420014,24.0,24.0,59528.0,0.069,0.375,0.462,0.0,0.059,2023-24,,
Ellington School District,480011,1131.0,1128.0,19106.0,0.044,0.087,0.721,0.113,0,2023-24,Tolland,
Elm City College Preparatory School District,2890013,373.0,372.0,16606.0,0.626,0.328,0.018,0.0,0.025,2023-24,,
Elm City Montessori School District,2910013,124.0,124.0,17804.0,0.256,0.275,0.344,0.033,0.092,2023-24,,
Enfield School District,490011,2002.0,1987.0,18781.0,0.067,0.22,0.623,0.024,0.064,2023-24,Hartford,
Essex School District,500011,148.0,148.0,27679.0,0.0,0.083,0.87,0.0,0.037,2023-24,,
Fairfield School District,510011,4101.0,4099.0,24113.0,0.033,0.14,0.708,0.063,0.055,2023-24,Fairfield,
Farmington School District,520011,1878.0,1875.0,19986.0,0.046,0.117,0.529,0.245,0.061,2023-24,Hartford,
Franklin School District,530011,104.0,104.0,19849.0,0.0,0.109,0.771,0.0,0,2023-24,,
Glastonbury School District,540011,2554.0,2553.0,21545.0,0.033,0.126,0.634,0.142,"6,9%",2023-24,Hartford,
Granby School District,560011,765.0,765.0,20961.0,0.068,0.068,0.805,0.027,0.028,2023-24,,
Great Oaks Charter School District,2940013,249.0,249.0,17851.0,0.437,0.496,0.047,0.0,0.014,2023-24,,
Greenwich School District,570011,3714.0,3707.0,27791.0,0.02,0.235,0.594,0.086,0.063,2023-24,Fairfield,
Griswold School District,580011,717.0,715.0,19279.0,0.024,0.138,0.747,0.017,0.065,2023-24,,
Groton School District,590011,1777.0,1773.0,20055.0,0.07,0.259,0.464,0.061,0.146,2023-24,New London,
Guilford School District,600011,1351.0,1350.0,22568.0,0.011,0.095,0.786,0.047,0.059,2023-24,,
Hamden School District,620011,2344.0,2330.0,23244.0,0.322,0.282,0.258,0.069,0.067,2023-24,New Haven,
Hampton School District,630011,33.0,33.0,28863.0,0.0,0.0,0.851,0.0,0,2023-24,,
Hartford School District,640011,7098.0,7055.0,23095.0,0.286,0.565,0.066,0.049,0.033,2023-24,Hartford,
Hartland School District,650011,80.0,80.0,31190.0,0.0,0.0,0.872,0.0,0.064,2023-24,,
Hebron School District,670011,360.0,360.0,19816.0,0.0,0.0,0.873,0.017,0.03,2023-24,,
Highville Charter School District,2860013,206.0,206.0,13203.0,0.839,0.137,0.0,0.0,0.016,2023-24,,
Integrated Day Charter School District,2640013,226.0,226.0,14835.0,0.11,0.227,0.434,0.138,0,2023-24,,
Interdistrict School for Arts and Comm District,2650013,258.0,258.0,17438.0,0.158,0.616,0.129,0.0,0.079,2023-24,,
Jumoke Academy District,2610013,325.0,321.0,17124.0,0.932,0.042,0.0,0.0,0.01,2023-24,,
Kent School District,680011,114.0,114.0,31348.0,0.0,0.105,0.822,0.0,0.047,2023-24,,
Killingly School District,690011,1012.0,1012.0,20989.0,0.023,0.127,0.755,0.023,0.068,2023-24,,
Learn,2450014,251.0,251.0,24012.0,0.08,0.379,0.38,0.0,0.13,2023-24,,
Lebanon School District,710011,378.0,376.0,23517.0,0.008,0.086,0.864,0.008,2.2,2023-24,,
Ledyard School District,720011,1066.0,1064.0,18092.0,3.6,13.7,69.2,3.3,10.1,2023-24,New London,
Lisbon School District,730011,264.0,263.0,19301.0,1.4,13.3,76.5,0.0,7.2,2023-24,,
Litchfield School District,740011,380.0,374.0,25321.0,0.0,7.7,88.7,1.5,1.3,2023-24,,
Madison School District,760011,1044.0,1045.0,25829.0,0.7,6.7,84.9,3.5,3.9,2023-24,New Haven,
Manchester School District,770011,2591.0,2571.0,20321.0,24.6,35.6,27.1,8.4,4.3,2023-24,Hartford,
Mansfield School District,780011,624.0,622.0,25984.0,0.0,17.7,62.4,12.4,3.8,2023-24,,
Marlborough School District,790011,232.0,232.0,19607.0,0.0,9.0,84.0,2.9,2.7,2023-24,,
Meriden School District,800011,3987.0,3951.0,16646.0,11.5,61.8,19.8,1.7,5,2023-24,New Haven,
Middletown School District,830011,1965.0,1953.0,24962.0,21.7,21.0,40.8,5.3,11.2,2023-24,Middlesex,
Milford School District,840011,2238.0,2230.0,25639.0,5.0,16.3,65.1,8.4,5.1,2023-24,New Haven,
Monroe School District,850011,1506.0,1502.0,19719.0,3.6,16.3,70.2,5.6,4,2023-24,,
Montville School District,860011,933.0,928.0,21162.0,4.6,16.8,60.2,6.1,11.4,2023-24,,
Naugatuck School District,880011,1841.0,1840.0,17922.0,12.6,38.9,41.2,2.0,4.9,2023-24,New Haven,
New Beginnings Inc Family Academy District,2800013,119.0,119.0,18485.0,54.6,43.1,0.0,0.0,0,2023-24,,
New Britain School District,890011,4368.0,4303.0,19901.0,10.5,68.7,13.5,2.1,5.2,2023-24,Hartford,
New Canaan School District,900011,1893.0,1890.0,26175.0,1.3,6.9,78.9,7.1,5.4,2023-24,Fairfield,
New Fairfield School District,910011,934.0,933.0,22155.0,2.5,17.7,75.3,1.2,3,2023-24,,
New Hartford School District,920011,244.0,244.0,21588.0,0.0,7.0,89.7,0.0,0,2023-24,,
New Haven School District,930011,7914.0,7848.0,21371.0,33.1,49.3,9.9,3.9,3.7,2023-24,New Haven,
New London School District,950011,1295.0,1282.0,23663.0,17.1,58.6,11.6,1.1,11.7,2023-24,New London,
New Milford School District,960011,1507.0,1500.0,20708.0,3.3,24.9,65.7,3.5,2.3,2023-24,Litchfield,
Newington School District,940011,1703.0,1695.0,21922.0,5.7,26.4,51.9,10.4,5.5,2023-24,,
Newtown School District,970011,1745.0,1742.0,22491.0,2.4,13.5,80.1,2.2,1.6,2023-24,Fairfield,
Norfolk School District,980011,27.0,27.0,49304.0,0.0,0.0,87.5,0.0,0,2023-24,,
North Branford School District,990011,673.0,673.0,23080.0,0.0,10.6,83.3,1.8,2.9,2023-24,,
North Canaan School District,1000011,141.0,140.0,25170.0,4.1,16.0,76.6,0.0,0,2023-24,,
North Haven School District,1010011,1431.0,1422.0,19720.0,5.4,13.7,68.2,8.5,3.9,2023-24,,
North Stonington School District,1020011,311.0,310.0,20659.0,1.9,4.6,90.0,1.1,1.6,2023-24,,
Norwalk School District,1030011,4741.0,4719.0,22245.0,13.4,56.6,22.5,3.7,3.9,2023-24,Fairfield,
Norwich School District,1040011,2074.0,2059.0,23566.0,18.5,39.1,26.2,6.2,10.1,2023-24,New London,
Odyssey Community School District,2630013,215.0,215.0,15234.0,23.2,19.2,26.5,24.1,0,2023-24,,
Old Saybrook School District,1060011,420.0,418.0,27652.0,0.0,15.4,77.2,3.4,3.2,2023-24,,
Orange School District,1070011,705.0,702.0,19558.0,0.0,8.2,72.5,12.5,4.7,2023-24,New Haven,
Oxford School District,1080011,728.0,727.0,21221.0,2.4,11.2,81.1,3.1,1.7,2023-24,New Haven,
Park City Prep Charter School District,2830013,389.0,383.0,16727.0,47.1,44.2,5.7,0.0,0,2023-24,,
Plainfield School District,1090011,857.0,854.0,20655.0,3.2,10.3,81.3,1.4,3.8,2023-24,Windham,
Plainville School District,1100011,987.0,985.0,21283.0,5.8,24.5,62.4,2.6,4.4,2023-24,Hartford,
Plymouth School District,1110011,561.0,562.0,20751.0,2.2,16.0,74.7,0.0,5.4,2023-24,,
Pomfret School District,1120011,216.0,216.0,22226.0,0.0,2.9,93.1,0.0,1.7,2023-24,,
Portland School District,1130011,594.0,593.0,21741.0,4.2,17.5,72.0,1.4,5,2023-24,,
Preston School District,1140011,260.0,260.0,23641.0,1.8,9.6,80.7,2.2,4.2,2023-24,,
Putnam School District,1160011,502.0,498.0,19790.0,1.4,17.3,73.8,1.3,6,2023-24,Windham,
Redding School District,1170011,549.0,546.0,29247.0,1.3,13.1,79.4,2.4,3.5,2023-24,,
Regional School District 01,2010012,,,37138.0,0.0,11.1,80.6,0.0,5.1,2023-24,,
Regional School District 04,2040012,210.0,211.0,29496.0,1.1,10.2,83.4,0.0,4,2023-24,,
Regional School District 05,2050012,711.0,710.0,22897.0,0.0,9.5,67.9,14.5,4.2,2023-24,,
Regional School District 06,2060012,277.0,276.0,24287.0,1.7,5.2,89.3,0.0,3.7,2023-24,,
Regional School District 07,2070012,235.0,233.0,27204.0,0.0,4.2,92.5,0.8,1.8,2023-24,,
Regional School District 08,2080012,359.0,358.0,25449.0,1.5,9.2,84.8,0.9,3.4,2023-24,,
Regional School District 10,2100012,975.0,974.0,20164.0,0.5,7.5,69.2,0.8,22,2023-24,,
Regional School District 11,2110012,85.0,84.0,29861.0,2.8,8.0,86.3,0.0,0,2023-24,,
Regional School District 12,2120012,273.0,272.0,31218.0,0.0,10.5,84.4,0.0,4,2023-24,,
Regional School District 13,2130012,618.0,618.0,28300.0,0.0,7.6,87.2,1.3,3.2,2023-24,,
Regional School District 14,2140012,601.0,601.0,24147.0,1.5,10.9,82.8,1.2,3.4,2023-24,,
Regional School District 15,2150012,1588.0,1586.0,24519.0,2.3,9.5,79.7,4.8,3.5,2023-24,,
Regional School District 16,2160012,864.0,863.0,20848.0,3.9,10.9,81.1,0.0,2.6,2023-24,,
Regional School District 17,2170012,796.0,795.0,25947.0,0.0,4.8,89.2,1.9,2.9,2023-24,,
Regional School District 18,2180012,521.0,520.0,24634.0,0.5,6.9,85.5,2.9,4.3,2023-24,,
Ridgefield School District,1180011,2015.0,1998.0,22736.0,0.8,9.3,78.9,6.3,4.5,2023-24,Fairfield,
Rocky Hill School District,1190011,1178.0,1178.0,20343.0,3.9,11.3,50.0,30.4,4.3,2023-24,,
