District,District_Code,ELA_Scores,Math_Scores,Total_Per_Pupil_Expenditures,Black,Hispanic,White,Asian,Other,Year,County,Area_Type
Farmington School District,520011,1883.0,1876.0,20158,0.048,0.113,0.532,0.246,0.06,2021-22,Hartford,
Franklin School District,530011,106.0,106.0,20287,0.0,0.102,0.791,0.0,0.064,2021-22,,
Glastonbury School District,540011,2511.0,2509.0,20782,0.034,0.117,0.648,0.138,0.062,2021-22,Hartford,
Granby School District,560011,782.0,777.0,20372,0.06,0.058,0.826,0.0,0.028,2021-22,,
Great Oaks Charter School District,2940013,270.0,274.0,17634,0.434,0.512,0.033,0.0,0.045,2021-22,,
Greenwich School District,570011,3755.0,3748.0,27093,0.021,0.229,0.601,0.085,0.062,2021-22,Fairfield,
Griswold School District,580011,710.0,710.0,17798,0.028,0.136,0.74,0.016,0.073,2021-22,,
Groton School District,590011,1780.0,1767.0,19706,0.076,0.242,0.485,0.058,0.127,2021-22,New London,
Guilford School District,600011,1395.0,1394.0,21532,0.0,0.093,0.791,0.047,0.057,2021-22,,
Hamden School District,620011,2339.0,2336.0,23255,0.321,0.263,0.284,0.07,0.061,2021-22,New Haven,
Hampton School District,630011,33.0,33.0,30664,0.0,0.09,0.836,0.0,0.0,2021-22,,
Hartford School District,640011,7039.0,6979.0,22167,0.289,0.564,0.07,0.046,0.027,2021-22,Hartford,
Hartland School District,650011,82.0,82.0,29381,0.0,0.0,0.836,0.0,0.086,2021-22,,
Hebron School District,670011,347.0,347.0,18902,0.0,0.052,0.884,0.019,0.026,2021-22,,
Highville Charter School District,2860013,200.0,200.0,11735,0.853,0.117,0.0,0.0,0.018,2021-22,,
Integrated Day Charter School District,2640013,225.0,224.0,14674,0.105,0.227,0.432,0.133,0.0,2021-22,,
Interdistrict School for Arts and Comm District,2650013,261.0,256.0,16897,0.181,0.069,0.128,0.0,0.064,2021-22,,
Jumoke Academy District,2610013,347.0,346.0,15035,0.925,0.059,0.01,0.0,0.0,2021-22,,
Kent School District,680011,115.0,115.0,31197,0.0,0.098,0.825,0.0,0.052,2021-22,,
Killingly School District,690011,990.0,981.0,19427,0.02,0.114,0.773,0.023,0.067,2021-22,,
Learn,2450014,258.0,257.0,26057,0.091,0.362,0.397,0.026,0.119,2021-22,,
